Name,HOCO,LUCO,Indirect Gap,EA/eV,Conductivity (20%),Log(20%),Conductivity (Max),Log(Max),SMILES
PCNI2-V,-6.12,-4.53,1.59,2.55,0.42,-0.37675071,0.44,-0.356547324,C=Cc1sc2c(c1C#N)c(=O)n(C)c(=O)c1c2sc2c1sc1c3scc(C#N)c3c(=O)n(C)c(=O)c12
PCNTI,-6.02,-4.07,1.95,1.63,0.15,-0.823908741,0.18,-0.744727495,Cn1c(=O)c2ccsc2c2sc3c(C#N)csc3c2c1=O
pDFSe,-4.87,-3.94,0.94,2.76,23,1.361727836,62.6,1.796574333,CN1C(=O)C2=C(c3ccc(-c4c(F)c(F)c(-c5ccc(C6=C7C(=O)N(C)C(c8ccc(-c9ccc[se]9)s8)=C7C(=O)N6C)s5)c5n[se]nc45)s3)N(C)C(=O)C2=C1c1cccs1
PDPF,-5.21,-3.76,1.45,2.19,0.0003,-3.522878745,1.3,0.113943352,CN1C(=O)C2=C(c3ccccn3)N(C)C(=O)C2=C1[C]1C=C[C](c2sc(/C=C/c3cccs3)c(F)c2F)C=N1
PDPH,-5.08,-3.63,1.45,2.07,0.0003,-3.522878745,0.00101,-2.995678626,CN1C(=O)C2=C(c3ccccn3)N(C)C(=O)C2=C1[C]1C=C[C](c2ccc(/C=C/c3cccs3)s2)C=N1
PDPIN,-5.73,-4.44,1.29,3.25,15,1.176091259,24.4,1.387389826,C=Cc1ccc2c(c1)C(=C(C#N)C#N)/C(=C\c1ccc(C3=C4C(=O)N(C)C(c5ccc(/C=C6/C(=O)c7ccccc7C6=C(C#N)C#N)s5)=C4C(=O)N3C)s1)C2=O
pDSe,-4.81,-3.86,0.96,2.73,0.9,-0.045757491,5.9,0.770852012,CN1C(=O)C2=C(c3ccc(-c4ccc(-c5ccc(C6=C7C(=O)N(C)C(c8ccc(-c9ccc[se]9)s8)=C7C(=O)N6C)s5)c5n[se]nc45)s3)N(C)C(=O)C2=C1c1cccs1
PDTz,-5.77,-4.43,1.34,3.04,0.2,-0.698970004,3.3,0.51851394,CN1C(=O)/C(=C2\[C]3C=C4OC(=O)/C(=C5/C(=O)N(C)c6c(F)cccc65)[C]4C=C3OC2=O)[C]2C=C[C](c3cnc(-c4nccs4)s3)C(F)=C21
PDTzSI-Se,-5.94,-4.31,1.63,2.83,90,1.954242509,164,2.214843848,Cn1c(=O)c2cc[se]c2c2sc(-c3nc4c(=O)n(C)c(=O)c5cc(-c6cc(C#N)c(/C=C/c7[se]ccc7C#N)[se]6)[se]c5c4s3)nc2c1=O
PDTzSI-T,-5.97,-4.25,1.72,2.78,26,1.414973348,62,1.792391689,Cn1c(=O)c2cc[se]c2c2sc(-c3nc4c(=O)n(C)c(=O)c5cc(-c6cc(C#N)c(/C=C/c7sccc7C#N)s6)[se]c5c4s3)nc2c1=O
PDTzTI,-6.06,-4.13,1.93,2.17,0.0002,-3.698970004,0.00035,-3.455931956,Cn1c(=O)c2ccsc2c2sc(-c3nc4c(=O)n(C)c(=O)c5ccsc5c4s3)nc2c1=O
PDTzTI-Se,-5.96,-4.27,1.69,2.8,68,1.832508913,98,1.991226076,Cn1c(=O)c2ccsc2c2sc(-c3nc4c(=O)n(C)c(=O)c5cc(-c6cc(C#N)c(/C=C/c7[se]ccc7C#N)[se]6)sc5c4s3)nc2c1=O
PDTzTI-T,-5.98,-4.23,1.75,2.75,42,1.62324929,73.9,1.868644438,Cn1c(=O)c2ccsc2c2sc(-c3nc4c(=O)n(C)c(=O)c5cc(-c6cc(C#N)c(/C=C/c7sccc7C#N)s6)sc5c4s3)nc2c1=O
PDTzTI-TEG,-5.86,-3.91,1.94,2.15,4,0.602059991,34,1.531478917,COCC(COC)Cn1c(=O)c2ccsc2c2sc(-c3nc4c(=O)n(CC(COC)COC)c(=O)c5ccsc5c4s3)nc2c1=O
PDTzTI-TEG-FT,-5.97,-3.96,2.01,2.32,9.8,0.991226076,15.9,1.201397124,COCC(COC)Cn1c(=O)c2ccsc2c2sc(-c3nc4c(=O)n(CC(COC)COC)c(=O)c5cc(-c6scc(F)c6F)sc5c4s3)nc2c1=O
PDTzTI-TEG-T,-5.84,-3.83,2.01,2.25,1.48,0.170261715,2.7,0.431363764,COCC(COC)Cn1c(=O)c2ccsc2c2sc(-c3nc4c(=O)n(CC(COC)COC)c(=O)c5cc(-c6cccs6)sc5c4s3)nc2c1=O
